sessionID,seriesID,Latitude,Longitude,Manual Cluster
5,92,31.44908967,31.68173717,4
5,93,31.44908983,31.6817375,4
5,94,31.44909017,31.6817385,3
5,95,31.44908983,31.68173933,3
5,96,31.44909017,31.68173983,3
5,97,31.44909067,31.68173883,3
5,98,31.44908867,31.681736,2
5,99,31.44908617,31.68173267,2
5,100,31.4490865,31.68172267,3
5,101,31.44908417,31.681708,3
6,102,31.44498633,31.64385617,0
6,103,31.444984,31.64392483,0
6,104,31.44498117,31.64399733,0
6,105,31.44497533,31.6440765,0
6,106,31.44496633,31.64416217,0
6,107,31.4449555,31.64425483,0
6,108,31.44494517,31.64433883,0
6,109,31.44493317,31.64442067,0
6,110,31.44492133,31.64450583,0
6,111,31.44490983,31.64459267,0
6,112,31.44489883,31.644681,0
6,113,31.4448925,31.64477367,0
6,114,31.44488817,31.64486217,0
6,115,31.4448875,31.6449645,0
6,116,31.4448875,31.645067,0
6,117,31.444888,31.6451685,0
6,118,31.44488817,31.64527917,0
6,119,31.4448905,31.64539717,0
6,120,31.44489517,31.6455275,0
6,121,31.4448995,31.64567183,0
6,122,31.44490533,31.64582017,0
6,123,31.444912,31.64597867,0
6,124,31.44492233,31.64614817,0
6,125,31.444932,31.64631883,0
6,126,31.444944,31.64648717,0
6,127,31.44495733,31.64665917,0
6,128,31.4449725,31.64683917,0
6,129,31.444991,31.64702583,0
6,130,31.4450115,31.64721833,0
6,131,31.44503467,31.64741867,0
6,132,31.44506,31.64762717,0
6,133,31.44508683,31.64784367,0
6,134,31.4451155,31.648067,0
6,135,31.44514633,31.6482945,0
6,136,31.4451795,31.6485255,0
6,137,31.44521483,31.64875833,0
6,138,31.44525233,31.64899133,0
6,139,31.44529183,31.64922367,0
6,139.1,31.44533533,31.64945767,0
6,140,31.4453815,31.649691,0
6,141,31.4454285,31.6499225,0
6,142,31.44547733,31.650154,0
6,143,31.445526,31.65038317,0
6,144,31.44557433,31.650612,0
6,145,31.44562317,31.65084167,0
6,146,31.44567117,31.6510685,0
6,147,31.4457185,31.6512955,0
6,148,31.44576517,31.6515225,0
6,149,31.445812,31.65174867,0
6,150,31.44585917,31.6519735,0
6,151,31.44590767,31.65219733,0
6,152,31.44595683,31.65242,0
6,153,31.44600617,31.6526435,0
6,154,31.44605517,31.65286783,0
6,155,31.44610383,31.65309183,0
6,156,31.446152,31.65331683,0
6,157,31.4462,31.6535425,3
6,158,31.44624667,31.65376583,3
6,159,31.44629317,31.65399017,3
6,160,31.4463415,31.65421533,0
6,161,31.44639133,31.65444233,0
6,162,31.44644017,31.65466817,0
6,163,31.44648767,31.65489317,0
6,164,31.44653567,31.6551205,0
